Id,text
139,RT @Biden_Army: @realDonaldTrump #BREAKING AUDIO  @SenSasse in call with constituents   @realDonaldTrump  mishandled COVID Kisses dictators…
140,@realDonaldTrump Pelosi needs to stop playing games with the American people. This is just one example of an urgent… https://t.co/3DI8bT5tGo
141,@realDonaldTrump  How did that turn out for you Spanky? https://t.co/KdC5BRz5W5
142,"@realDonaldTrump  Sir, The phrase you're looking for is ""Do you want China's most famously bought and paid-for poli… https://t.co/5PCAxodCXq"
143,"RT @Cleavon_MD: @realDonaldTrump Guadalupe “Lupe” Money, 24, mother of a newborn (10 days old) and wife, Port Saint Lucie, FL – died August…"
144,@realDonaldTrump https://t.co/LdH4nOCo1N
145,RT @RepubTown: @realDonaldTrump TRUMP 2020! THE RADICAL LEFT DEMOCRATS WANT TO TAKE AWAY YOUR FREEDOM!
146,@realDonaldTrump https://t.co/Q3Xwxrx5ms
147,@realDonaldTrump Rounding the corner? You effing idiot! You are #TheBiggestLoser #LockHimUp https://t.co/VMR1I5uiM5
148,@realDonaldTrump More incoherent ramblings.
149,@realDonaldTrump https://t.co/vETyPhtqAr
150,@realDonaldTrump https://t.co/zIUPw5jVOE
151,@realDonaldTrump https://t.co/4PSAwmY3pq
152,"RT @pliu412: @realDonaldTrump @NateSilver538 Couldnot agree more! Only 4 models (HELMUT NORPOTH MODEL, DEMOCRACY INSTITUTE, Trafalgar Group…"
153,@realDonaldTrump @NBCNews Not really!  😂😂😂
154,"@realDonaldTrump Sum it up doesn't it, and this pic was in Minnesota fucking sick! https://t.co/1XKBZHpOHw"
155,@realDonaldTrump heard you are considering leaving America after your defeat. Good idea!  I'm sure you will be safe… https://t.co/GleRTULsm8
156,@realDonaldTrump @GStephanopoulos “Trump” the perpetual VICTIM https://t.co/gpaIqlC7Bb
157,"@realDonaldTrump Former WH COS John Kelly has told friends, about you: “The depths of his dishonesty is just astoun… https://t.co/KXPgmhN22U"
158,@realDonaldTrump First President to lose a Town Hall meeting to a moderator.
159,@realDonaldTrump https://t.co/NM6m71g4at
160,RT @jelle_simons: @realDonaldTrump Because common sense is bipartisan.. https://t.co/DqCwzaqOEt
161,"@realDonaldTrump Are you looking for a graphic designer? need any kind of graphic like, LOGO, Banner, Cover, FlYER… https://t.co/BA75QtQDaW"
162,RT @rjDunfee: @realDonaldTrump #RacistInChief #TrumpIsRacist #TrumpIsARacist #RepublicanRacism #RacistRepublicans #Vote #VoteHimOut #VoteHi…
163,"RT @Cleavon_MD: @realDonaldTrump Jacqueline “Moochee” Spears, 58, CNA at Palm Terrace, Clewistown, FL died of #covid19 4/25. Devoted caregi…"
164,"@realDonaldTrump Where will all the Trump staffers go after the election? To the end of long, and getting longer by… https://t.co/rLM8qDh1M7"
165,@realDonaldTrump @NBCNews https://t.co/gFU1tTPDmI
166,@realDonaldTrump PeloXi making america socialist China CCP gradually...
167,"RT @Cleavon_MD: @realDonaldTrump NORMAN FLEAGLE JR., 59, of St. Lucie County, Florida, died of COVID-19 on March 26th.   A US Navy veteran,…"
168,@realDonaldTrump https://t.co/ZzvTh5mgfv
169,"RT @Cleavon_MD: @realDonaldTrump Brandy Hearne, 41, single mother of two who worked in finance in the tax collector office of Okaloosa, FL…"
170,"RT @jordanleoreal: @realDonaldTrump For a school Media project, my group were wondering if we could interview YOU, DonaldJTrump about your…"
171,@realDonaldTrump Trump always think about America first! Trump2020
172,@realDonaldTrump to go into exile https://t.co/xx3D1iLriq
173,RT @Cleavon_MD: @realDonaldTrump ⚠️dead at 16 16 y.o. Estella Perez from Homestead Florida died from #COVID. This death was preventable and…
174,@realDonaldTrump @GStephanopoulos thought this was a shitpost. should know by now but apparently not
175,RT @JoanneWT09: @realDonaldTrump STRAIGHT REPUBLICAN TICKET!! #TRUMP2020 🇺🇸🇺🇸 #VoteRedToSaveAmerica2020 🇺🇸🇺🇸 https://t.co/hynSTjKVhA
176,"@realDonaldTrump More maskless COVIDIOTS in a hotspot... you must have felt so at home with so many people ""who nee… https://t.co/oNpU3DX7YO"
177,"RT @Cleavon_MD: @realDonaldTrump Renada McGuire, 39yo Home Health Aide, Palm Coast, FL, died of #covid19 7/4. She decided to work with  men…"
178,@realDonaldTrump https://t.co/HbHQXDZU6O
179,@realDonaldTrump @NBCNews I believe you are misinformed.
180,@realDonaldTrump Don't look like it's very many people so your still going around infecting Americans for your bene… https://t.co/g1M2K6sFLC
181,RT @scientificrealm: @realDonaldTrump https://t.co/MOXPXX9KWy
182,"RT @DebraMessing: @realDonaldTrump  You son of a bitch. This is not a PARTISAN ISSUE. People died. Homes, full communities were razed. And…"
183,"RT @Cleavon_MD: @realDonaldTrump ⚠️dead at 27 My cousin Simon Press was a gym teacher, semipro football player trying out for the @NFL, and…"
184,@realDonaldTrump #trumppence
185,"RT @itsJeffTiedrich: @realDonaldTrump @TheBabylonBee oh look, Crazy Uncle Conspiracy Doofus has logged on"
186,@realDonaldTrump Why are you in Georgia?
187,"RT @lesleyabravanel: @realDonaldTrump @TheBabylonBee The Babylon Bee is satire, you stupendously stupid, syphilitic sock monkey. #TrumpIsAL…"
188,"@realDonaldTrump Can't wait for you to leave, but want you in prison first."
189,"@realDonaldTrump Go spread lies, hate and Ofcourse some COVID - you are good at it"
190,@realDonaldTrump que te pasA dorito con mi comandante no te metas
191,@realDonaldTrump You could override for the stimulus package please. Your American people are hurting it here. Plea… https://t.co/GjJpBH2eOy
192,@realDonaldTrump Who cares!
193,"@realDonaldTrump I thought ""Big T"" was the 27Trillion dollar national debt. https://t.co/BdNj7rmeqA"
194,@realDonaldTrump @TheBabylonBee Dumbest man on earth
195,"@realDonaldTrump the last night was great, shall we repeat? no one needs to know!  big day👍🇧🇷"
196,@realDonaldTrump @TheBabylonBee That’s quite a spin on the real story which is that Giuliani got punked by Russian… https://t.co/TxkZa9s3AS
197,@realDonaldTrump https://t.co/u2wXdrIRM2
198,@realDonaldTrump That is what you do...praising people that ruin things for other people.
199,"@realDonaldTrump I watch you every chance I get! My kids say ""really mom again?"" I could listen all day!! Thank you… https://t.co/BLVXtw9Hmu"
200,@realDonaldTrump https://t.co/v2iAFAXCfD
201,@realDonaldTrump Mike Pence: One Big! Fly on his head!
202,"RT @NoHolyScripture: @realDonaldTrump  No disrespect, but would you mind telling your voters whether you did ever pay for an abortion or ha…"
203,@realDonaldTrump @GStephanopoulos I would take dancing lessons if I was you.
204,@realDonaldTrump Your jail cell is waiting for you.... 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣  The Whitehouse will have to be fumigated to remo… https://t.co/G4w19EcUTq
205,@realDonaldTrump @Franklin_Graham  @TrumpWarRoom @SenatorCollins  What Chaos Like the Tower of Babel in the Bible.… https://t.co/9Kf9wKDeG7
206,@realDonaldTrump https://t.co/0AUpdI3E1w
207,"RT @RuthAnn13634810: @realDonaldTrump By ALL means...thank you President Trump for all the battling you do, for us! Hope you are feeling be…"
208,RT @AParra210: @realDonaldTrump @redsteeze @status_culture @RealBrysonGray @lee_ritz  @ChanelRion @LilYungPharaoh get this one trending!! h…
209,@realDonaldTrump https://t.co/pEPVUGeKwD
210,"@realDonaldTrump Yeah, I watched this instead:  https://t.co/g79ojB81bw"
211,@realDonaldTrump Stay at Home 😷😷😷
212,@realDonaldTrump What is MAGA? short-term economic activity until the climate has turned over? a divided society? a… https://t.co/cnU1LUGsDw
213,@realDonaldTrump Vote Biden if you love China and if you welcome Chinese.  Vote Trump if you dislike China and if y… https://t.co/8nT4suj9xY
214,@realDonaldTrump Your People! That all people should need to now! 30 Miles outside Saint Cloud MN. https://t.co/y6UQgBxYLy
215,@realDonaldTrump #25thAmendmentNow look at king conspiracy!!! 🤣🤣🤣🤣
216,@realDonaldTrump @cspan Your week hasn't been so hot either.
217,@realDonaldTrump Big T is a good name for you. Very fitting. Small d is second best.
218,@realDonaldTrump Super predator? He must have had you in mind. No mistake there.
219,"RT @unleashthetea: @realDonaldTrump In 18 days, Donald J Trump will get 4 MORE YEARS in the WHITE HOUSE"
220,"RT @Ink8Judy: @realDonaldTrump @TheBabylonBee NO. ACTUALLY TWITTER IS DOING THIS,  TO (PROTECT) AMERICANS ...  FROM (""DON the CON !!"")  TRU…"
221,"@realDonaldTrump, so your ratings across 3 networks were lower than @JoeBiden's on a single network, huh?  💯🔥 https://t.co/cEMIex1jj6"
222,"RT @lizard817: @realDonaldTrump “Florida woman who praised President Donald Trump for being ""handsome"" during Thursday night's NBC town hal…"
223,@realDonaldTrump What is MAGA? short-term economic activity until the climate has turned over? a divided society? a… https://t.co/RE0mytCFgT
224,@realDonaldTrump Mach macho man lol lol lol
225,@realDonaldTrump The Russians.
226,@realDonaldTrump Ramblings of a mad old man.
227,@realDonaldTrump You’re desperate! You’re losing!!! #trumpislosing
228,@realDonaldTrump Your lying. Again.
229,"RT @Cleavon_MD: @realDonaldTrump @NBCNews @cspan Eli Klausner, 64, died of COVID-19 on April 13th in North Carolina. A native New Yorker, h…"
230,@realDonaldTrump you were on more networks then Biden last night and he still got better ratings than you!!! Even w… https://t.co/jNJXgFhYgM
231,RT @K98nights: @realDonaldTrump https://t.co/Z1utr0QB6Y
232,@realDonaldTrump  wrote off $70K from his taxes for haircuts yet teachers in many states don't even make $70K a yea… https://t.co/jiLkuljaVB
233,@realDonaldTrump Another super spreader event... #COVIDIOTS https://t.co/xTr0mnKF5F
234,RT @EugJHawk: @realDonaldTrump #BLM #DesperateTrumpWillDoAnything #GOPLetHimInfectUs #2MillionDeadPerYearWithTrumpsHerdImmunity #TrumpGenoc…
235,"RT @manavjivan: @realDonaldTrump Racist, fascist &amp; rapist looking for 2nd term?  #TaxCheat   https://t.co/o5lnmGeQcg"
236,@realDonaldTrump Just read that trump is threatening to leave the country if Biden wins...no better reason than that to vote Biden
237,@realDonaldTrump Everyone is entitled to one mistake.
238,"@realDonaldTrump ""Where's my Sharpie?"""
239,@realDonaldTrump God bless you.
240,@realDonaldTrump @NBCNews It’s hilarious to me that you losing is tied to multiple indictments... And record turnou… https://t.co/jUl2lULNui
241,"@realDonaldTrump #trumplies, as usual."
242,"@realDonaldTrump Yes, indeed. It was an enormous crowd. https://t.co/4EYpYPX5ot"
243,RT @someknew: @realDonaldTrump y’all https://t.co/dZj0o6ir5l
244,"@realDonaldTrump  if you dont put the Bidens in jail, they will put you in jail after your second term. YOU HAVE BEEN WARNED!!!"
245,RT @Phillip2020Vote: @realDonaldTrump PREDATORS!!! https://t.co/o3ml8wVGDt
246,@realDonaldTrump Finally! The secrets to Podesta's Perfect Risotto will soon be mine!
247,@realDonaldTrump Looks like GA Sen David Perdue @sendavidperdue has stepped in your shit. Give $$$ to Jon Ossoff… https://t.co/fGAnvQb8Uq
248,"@realDonaldTrump You tell em donnie! I mean John miller, Baron... Whatever the hell you're going by now, you know w… https://t.co/ZGO4DvPvJP"
249,RT @AntheRhodes: @realDonaldTrump Here’s a better endorsement. https://t.co/RMYf6oirur
250,@realDonaldTrump https://t.co/glHX8mKNs4
251,@realDonaldTrump @SenatorCollins Vote Blue! Dump Trump!
252,"@realDonaldTrump Trump said he may leave the country if he’s voted out of office   He means ”flee”, because he will… https://t.co/7eMUvWRG7G"
253,@realDonaldTrump Vote Biden! Vote Blue!
254,@realDonaldTrump This must be the stupidest way to vote. Third world countries are laughing at us.
255,@realDonaldTrump That term should be used for you. How much money have you stolen from tax payers and your own campaign?
256,@realDonaldTrump Jackie Chan's Mansion Seized by Authorities as His Ties to China's Facti... https://t.co/KFCmjqQFq6 via @YouTube
257,@realDonaldTrump Right
258,"RT @pablo_honey1: @realDonaldTrump @NBCNews “He didn’t spend the whole time yelling, he didn’t piss himself… so this was as best as we coul…"
259,RT @JoanneWT09: @realDonaldTrump STRAIGHT REPUBLICAN TICKET!! #TRUMP2020 🇺🇸🇺🇸 #VoteRedToSaveAmerica2020 🇺🇸🇺🇸 https://t.co/hynSTjKVhA
260,RT @hemi31: @realDonaldTrump @VP these machines here in Nebraska were burned down because they believed in you Mr President Trump and now t…
261,@realDonaldTrump Everyone knows you've never been referred to Big T.
262,"RT @PRM13001813: @realDonaldTrump Campaigning using the taxpayer funded Air Force One (747 jumbo jet)?  Yes Donald, you’re a total disgrace…"
263,@realDonaldTrump Watch the Documentary: TOTALLY UNDER CONTROL  You will see how Trump failed America!  He ignored A… https://t.co/BBo5Ht7t0K
264,@realDonaldTrump GROSS 🤢😷
265,"@realDonaldTrump Big Crowd. We have been, partners with COVID-19 : https://t.co/BH854MyenV"
266,@realDonaldTrump  Iranian love you. ترامپ پرزیدنت دلها https://t.co/WcNjqOI1es https://t.co/xM1Tasu5Fo
267,"RT @judgeyourself99: @realDonaldTrump #BlameTrump  20,000 plus lies  Highest Coronavirus cases worldwide  220,000 dead from #COVID19  Still…"
268,@realDonaldTrump @TheBabylonBee This is what happens in Communist Countries.
269,@realDonaldTrump Another #TrumpCovid19SuperSpreader #MaskUpGeorgia
270,@realDonaldTrump You refuse to lead. You always blame others. You don’t take responsibility - and you want four mor… https://t.co/fBatA9cDpN
271,@realDonaldTrump That will dump Covid 19 all over your ignorant followers
272,"@realDonaldTrump Hey, no one likes you."
273,@realDonaldTrump Run!!!!! Fat orange psycho is on the loose!!!!
274,@realDonaldTrump Donald Trump is going to end up like Robert De Niro at the end of Raging Bull. He'll be in some pi… https://t.co/4rtfBRAGS3
275,"@realDonaldTrump NO, you are!"
276,@realDonaldTrump Still falsely accusing innocence boys of color of RAPE?
277,@realDonaldTrump https://t.co/Vt5IaNPjnH
278,@realDonaldTrump You're such a good man @realDonaldTrump . I believe you when you say I will have to pay 750 dollar… https://t.co/z8EnKNhal3
279,@realDonaldTrump Biden Draws More Viewers Than Trump in Town Hall Ratings
280,@realDonaldTrump This has been disproven.
281,"@realDonaldTrump Herd immunity, courtesy of the Trump re-election campaign. #VoteBlue2020 #VoteBlueToSaveAmerica"
282,@realDonaldTrump Only if you are on your period gump
283,"RT @iheartmindy: @realDonaldTrump @TheBabylonBee Hey, don’t blame us that a satirical conservative site reports more believable and based-o…"
284,@realDonaldTrump you still have time to cut a deal. Now is the time to move. If you don't Jail or worse is coming y… https://t.co/p7mqRKeWhi
285,"RT @KimHenke1: @realDonaldTrump @TheBabylonBee The event is over, the commentators are moving on, the studio crew closing up... and yet @Jo…"
286,@realDonaldTrump Gooo ahead👍🏻👍🏻👍🏻👍🏻
